"","Date2","Av_level","Area"
"196","3/15/2019",NA,NA
"197","3/16/2019",NA,NA
"198","3/17/2019",NA,NA
"199","3/18/2019",NA,NA
"200","3/19/2019",NA,NA
"201","3/20/2019",NA,NA
"202","3/21/2019",NA,NA
"203","3/22/2019",NA,NA
"204","3/23/2019",NA,NA
"205","3/24/2019",NA,NA
"206","3/25/2019",NA,NA
"207","3/26/2019",NA,NA
"208","3/27/2019",NA,NA
"209","3/28/2019",NA,NA
"210","3/29/2019",NA,NA
"211","3/30/2019",-14.35610949,NA
"212","3/31/2019",NA,NA
"213","4/1/2019",NA,2214.760226
"214","4/2/2019",NA,NA
"215","4/3/2019",-17.76789975,NA
"216","4/4/2019",NA,NA
"217","4/5/2019",NA,NA
"218","4/6/2019",NA,NA
"219","4/7/2019",NA,NA
"220","4/8/2019",NA,NA
"221","4/9/2019",NA,NA
"222","4/10/2019",NA,NA
"223","4/11/2019",NA,NA
"224","4/12/2019",NA,NA
"225","4/13/2019",NA,NA
"226","4/14/2019",NA,NA
"227","4/15/2019",NA,NA
"228","4/16/2019",NA,NA
"229","4/17/2019",NA,NA
"230","4/18/2019",NA,NA
"231","4/19/2019",NA,NA
"232","4/20/2019",NA,NA
"233","4/21/2019",NA,NA
"234","4/22/2019",NA,NA
"235","4/23/2019",NA,NA
"236","4/24/2019",NA,NA
"237","4/25/2019",NA,NA
"238","4/26/2019",NA,NA
"239","4/27/2019",NA,NA
"240","4/28/2019",NA,NA
"241","4/29/2019",NA,NA
"242","4/30/2019",NA,NA
"243","5/1/2019",NA,2559.180276
"244","5/2/2019",-17.86243088,NA
"245","5/3/2019",NA,NA
"246","5/4/2019",NA,NA
"247","5/5/2019",NA,NA
"248","5/6/2019",NA,NA
"249","5/7/2019",NA,NA
"250","5/8/2019",NA,NA
"251","5/9/2019",NA,NA
"252","5/10/2019",NA,NA
"253","5/11/2019",NA,NA
"254","5/12/2019",NA,NA
"255","5/13/2019",NA,NA
"256","5/14/2019",NA,NA
"257","5/15/2019",NA,NA
"258","5/16/2019",NA,NA
"259","5/17/2019",NA,NA
"260","5/18/2019",NA,NA
"261","5/19/2019",NA,NA
"262","5/20/2019",NA,NA
"263","5/21/2019",NA,NA
"264","5/22/2019",NA,NA
"265","5/23/2019",NA,NA
"266","5/24/2019",NA,NA
"267","5/25/2019",NA,NA
"268","5/26/2019",NA,NA
"269","5/27/2019",NA,NA
"270","5/28/2019",NA,NA
"271","5/29/2019",NA,NA
"272","5/30/2019",NA,NA
"273","5/31/2019",-16.01653929,NA
"274","6/1/2019",NA,2575.179994
"275","6/2/2019",NA,NA
"276","6/3/2019",NA,NA
"277","6/4/2019",NA,NA
"278","6/5/2019",NA,NA
"279","6/6/2019",NA,NA
"280","6/7/2019",NA,NA
"281","6/8/2019",NA,NA
